ano,quantidade_vinculos_ativos,cep,bairros_fortaleza
2019,1,60160130,0066
2019,2,60175440,0052
2019,3,60335480,0025
2019,1,60425810,0026
2019,1,60180420,0067
2019,5,60526400,0033
2019,10,60850150,0005
2019,1,60410760,0070
2019,1,60416530,0070
2019,5,60763480,0024
2019,3,60741040,0064
2019,43,60060220,0060
2019,4,60730300,0056
2019,1,60742110,0064
2019,2,60543290,0014
2019,5,60325670,0049
2019,1,60831610,0043
2019,3,60820160,0062
2019,39,60175230,0052
2019,10,60120420,0005
2019,1,60822390,0018
2019,2,60511700,0059
2019,2,60441370,0027
2019,3,60430140,0063
2019,4,60822180,0018
2019,1,60320540,0068
2019,11,60165082,0052
2019,9,60834080,0002
2019,9,60336430,0025
2019,6,60325640,0049
2019,6,60060320,0060
2019,2,60180320,0067
2019,1,60831220,0043
2019,4,60831410,0043
2019,12,60416200,0013
2019,3,60430050,0063
2019,1,60337670,0025
2019,5,60410691,0070
2019,1,60526380,0035
2019,3,60430270,0063
2019,2,60765000,0044
2019,1,60416200,0013
2019,1,60850720,0005
2019,53,60526450,0033
2019,11,60165150,0052
2019,55,60510290,0035
2019,3,60060610,0060
2019,3,60416170,0013
2019,5,60541070,0034
2019,7,60732270,0014
2019,4,60520020,0041
2019,28,60822180,0018
2019,1,60430230,0063
2019,3,60011040,0031
2019,2,60175150,0066
2019,5,60831460,0043
2019,1,60741110,0064
2019,56,60820290,0062
2019,1,60325710,0049
2019,6,60820030,0062
2019,27,60180300,0067
2019,1,60336010,0006
2019,2,60851290,0005
2019,1,60710700,0045
2019,10,60355000,0006
2019,9,60732541,0014
2019,1,60181770,0067
2019,2,60850780,0005
2019,37,60822270,0018
2019,478,60864190,0017
2019,25,60416420,0013
2019,1,60450060,0057
2019,5,60713330,0044
2019,21,60731660,0014
2019,4,60181690,0067
2019,1,60545450,0015
2019,1,60321070,0068
2019,1,60110300,0060
2019,2,60730230,0056
2019,5,60741600,0064
2019,86,60160240,0066
2019,5,60440030,0027
2019,1,60851290,0005
2019,2,60182530,0009
2019,1,60336285,0006
2019,10,60830120,0018
2019,1,60860440,0028
2019,17,60010000,0051
2019,1,60110300,0060
2019,2,60820200,0062
2019,193,60541490,0015
2019,4,60326130,0049
2019,1,60831430,0043
2019,39,60180350,0067
2019,23,60732700,0014
2019,5,60512030,0059
2019,54,60713500,0069
2019,1,60540440,0014
2019,7,60325000,0031
2019,10,60450000,0011
2019,1,60165120,0060
2019,1,60763540,0024
2019,3,60851290,0005
2019,9,60430140,0063
2019,3,60430270,0063
2019,1,60860150,0028
2019,2,60455610,0007
2019,9,60850420,0005
2019,3,60440580,0059
2019,4,60731020,0056
2019,6,60182160,0067
2019,13,60180190,0067
2019,1,60430350,0063
2019,16,60150180,0066
2019,1,60525570,0035
2019,4,60710480,0045
2019,1,60540060,0014
2019,30,60180760,0067
2019,2,60534050,0034
2019,6,60415560,0039
2019,9,60730240,0056
2019,5,60763730,0024
2019,1,60831555,0043
2019,2,60541550,0015
2019,15,60175090,0052
2019,8,60864311,0017
2019,4,60335480,0025
2019,2,60180330,0067
2019,1,60416000,0039
2019,5,60420130,0070
2019,5,60060280,0060
2019,3,60180000,0067
2019,12,60425810,0026
2019,2,60741600,0064
2019,2,60831600,0043
2019,10,60430120,0063
2019,2,60440580,0059
2019,9,60060660,0060
2019,5,60545230,0034
2019,1,60860270,0028
2019,7,60526500,0033
2019,2,60742100,0064
2019,8,60110300,0060
2019,1,60822170,0018
2019,1,60534130,0033
2019,11,60850490,0005
2019,1,60860000,0028
2019,1,60110300,0060
2019,1,60831610,0043
2019,7,60182301,0067
2019,3,60415730,0039
2019,9,60534280,0033
2019,3,60175510,0052
2019,1,60713300,0044
2019,5,60355360,0006
2019,3,60160240,0066
2019,3,60420000,0070
2019,1,60822360,0018
2019,1,60822360,0018
2019,16,60720820,0015
2019,3,60820140,0062
2019,66,60325005,0031
2019,5,60831310,0002
2019,1,60850010,0005
2019,1,60730120,0069
2019,1,60325640,0049
2019,1,60455620,0007
2019,1,60850010,0005
2019,4,60510290,0035
2019,2,60325000,0031
2019,3,60731010,0056
2019,1,60731020,0056
2019,24,60741250,0064
2019,1,60182380,0009
2019,4,60416510,0013
2019,1,60182130,0067
2019,1,60764180,0044
2019,7,60741570,0064
2019,1,60732100,0014
2019,2,60356130,0016
2019,4,60356310,0016
2019,24,60710480,0045
2019,1,60165120,0060
2019,1,60833410,0002
2019,7,60511080,0059
2019,1,60820200,0062
2019,1,60336390,0006
2019,3,60832480,0043
2019,1,60110300,0060
2019,18,60442021,0027
2019,1,60510550,0059
2019,3,60860000,0028
2019,1,60410340,0013
2019,1,60822360,0018
2019,1,60430120,0063
2019,10,60320380,0068
2019,1,60011100,0031
2019,6,60426000,0026
2019,1,60325440,0049
2019,3,60455440,0063
2019,1,60430440,0063
2019,12,60337300,0025
2019,12,60850490,0005
2019,1,60441385,0011
2019,6,60165120,0060
2019,1,60337350,0025
2019,19,60526720,0033
2019,38,60730130,0069
2019,1,60864460,0017
2019,5,60540000,0014
2019,5,60181340,0052
2019,12,60763600,0024
2019,4,60520470,0035
2019,1,60450000,0011
2019,1,60822360,0018
2019,6,60320360,0068
2019,1,60525190,0035
2019,21,60455510,0007
2019,14,60730230,0056
2019,70,60525570,0035
2019,2,60831460,0043
2019,5,60763430,0024
2019,3,60510461,0059
2019,1,60851460,0005
2019,2,60010000,0051
2019,8,60175410,0066
2019,1,60060250,0060
2019,2,60820160,0062
2019,5,60510290,0035
2019,1,60160130,0066
2019,9,60822180,0018
2019,17,60326220,0049
2019,3,60110260,0060
2019,1,60430140,0063
2019,247,60410620,0070
2019,3,60410691,0070
2019,6,60110300,0060
2019,2,60764130,0044
2019,1,60764020,0044
2019,5,60416470,0013
2019,1,60175270,0052
